Company_ID,CompanyName,ESG Rating,ESG_score,Country,Sector,Industrygroup,Industry,Language,Year,F-01_value,F-01_value_keyword,F-01_unit,F-01_unit_keyword,F-02_value,F-02_value_keyword,F-02_unit,F-02_unit_keyword,E-01_value,E-01_value_keyword,E-01_unit,E-01_unit_keyword,E-02_value,E-02_value_keyword,E-02_unit,E-02_unit_keyword,E-03_value,E-03_value_keyword,E-03_unit,E-03_unit_keyword,E-04_value,E-04_value_keyword,E-04_unit,E-04_unit_keyword,E-05_value,E-05_value_keyword,E-05_unit,E-05_unit_keyword,E-06_value,E-06_value_keyword,E-06_unit,E-06_unit_keyword,E-07_value,E-07_value_keyword,E-07_unit,E-07_unit_keyword,S-01_value,S-01_value_keyword,S-01_unit,S-01_unit_keyword,S-02_value,S-02_value_keyword,S-02_unit,S-02_unit_keyword,S-03_value,S-03_value_keyword,S-03_unit,S-03_unit_keyword,S-04_value,S-04_value_keyword,S-04_unit,S-04_unit_keyword,S-05_value,S-05_value_keyword,S-05_unit,S-05_unit_keyword,S-06_value,S-06_value_keyword,S-06_unit,S-06_unit_keyword,S-07_value,S-07_value_keyword,S-07_unit,S-07_unit_keyword,S-08_value,S-08_value_keyword,S-08_unit,S-08_unit_keyword,S-09_value,S-09_value_keyword,S-09_unit,S-09_unit_keyword,G-01_value,G-01_value_keyword,G-01_unit,G-01_unit_keyword,G-02_value,G-02_value_keyword,G-02_unit,G-02_unit_keyword,G-03_value,G-03_value_keyword,G-03_unit,G-03_unit_keyword,G-04_value,G-04_value_keyword,G-04_unit,G-04_unit_keyword,G-05_value,G-05_value_keyword,G-05_unit,G-05_unit_keyword,G-06_value,G-06_value_keyword,G-06_unit,G-06_unit_keyword,G-07_value,G-07_value_keyword,G-07_unit,G-07_unit_keyword,G-08_value,G-08_value_keyword,G-08_unit,G-08_unit_keyword,,Sentiment_Score,,share_price,income,WACC,volatility,liquidity_ratio,beta_coefficient,GDP_growth,unemployment_rate
59,Omron,AAA,92.4,Japan,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2023,73900,Net Income,Million yen,,0.0071,,,,40000,Scope1,metric tons CO2 equivalent ? MT CO2e,,88000,Scope2,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,6260071.14,, MWh,,43912460,,cubic meters,,151627.6,,Metric Tons,,13077785.4,,MWh,,4.56,,,,28034,Number of employees,,,35.66,,,,97.144,,,,23.82,,,,0.2,,,,489.4,,,,22746312,,USD,,0,,,,36,,,,2,,,,0,,,,1,GRI,,,1,third-party assessment,,,1,goals,,,,,,,1,,,,,0.803225806,,76.9,0.65,8.2,18,2.22,1.77,1.8,2.6
60,Delta,A,72.25,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2020,10058,,Million USD,,1,,,,14183,,metric tons CO2 equivalent ? MT CO2e,,163628,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,563281,, MWh,,1268300,,cubic meters,,39336.9,,Metric Tons,,310322,,MWh,,27.6,,%,,83804,,,,46.8,,%,,95.7,,%,,27.2,,hours,,0.2,,,,350.8,,,,9070000,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.551578947,,31,-12.39,8.1,37,1.87,0.71,2.2,5.2
61,Delta,AA,81.35,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2021,11275,,Million USD,,1,,,,17808,,metric tons CO2 equivalent ? MT CO2e,,133207,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,633500,, MWh,,1444800,,cubic meters,,50060.9,,Metric Tons,,386500,,MWh,,3,,%,,85593,,,,48.3,,%,,96.1,,%,,13.6,,hours,,1,,,,308.8,,,,11890000,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.551578947,,42,0.28,8.2,41,2.14,0.63,8.4,5.1
62,Delta,AA,81.75,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2022,12890,,Million USD,,1,,,,38807,,metric tons CO2 equivalent ? MT CO2e,,148838,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,709484,, MWh,,1404700,,cubic meters,,54162.9,,Metric Tons,,421548,,MWh,,3.9,,%,,86294.18,,,,32.78,,,,97,,%,,18.2,,hours,,0,,,,302.8,,,,9870000,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.551578947,,35,1.32,8.5,40,2.26,0.67,3.1,5.6
63,Delta,AA,81.2,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2023,13067,revenue,Million USD,,1,,,,26283,Scope 1,metric tons CO2 equivalent ? MT CO2e,,105992,Scope 2 Market-based,metric tons CO2 equivalent ? MT CO2e,,7160049,GHG Emissions Scope 3,metric tons CO2 equivalent ? MT CO2e,,747828,Total electricity, MWh,,1542600,Total Water Consumption,cubic meters,,49304,Total waste generation,Metric Tons,,568595,Renewable Electricity,MWh,,1.5,turnover rate,,,81855,the total number of employees,,,48.7,Gender Distribution,,,97.2,Completion Rate,%,,19,Average hours per FTE of training and development,hours,,1,employee fatality,,,324,,,,58647280,,USD,,0,,,,36,,,,0,corruption,,,0,infringement of customer privacy,,,1,Index of GRI Standards Indicators,,,1,External Assurance Statement and Report,,,1,net-zero goal,,,,,,,1,Materiality Assessment,,,,0.551578947,,42,4.61,8.7,31,2.23,1.22,5.2,5.2
64,SUNNY OPTICAL,BB,61.4,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2020,38002,,Million  RMB,,0.145,,,,281159.66,,metric tons CO2 equivalent ? MT CO2e,,1737312.44,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,462945,, MWh,,2127012.6,,cubic meters,,10301,,Metric Tons,,13075710.4,,MWh,,16.846,,,,22409,,,,38.3,,%,,100,,%,,28.538,,,,2,,,,1450.7,,,,115130,,USD,,0,,,,36,,,,0,,,,0,,,,0,,,,1,,,,1,,,,,,,,1,,,,,0.642857143,,50,0.71,7.2,27,1.23,1.43,2.2,5.2
65,SUNNY OPTICAL,BBB,60.75,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2021,55400,,Million  RMB,,0.155,,,,259400,,metric tons CO2 equivalent ? MT CO2e,,380184,,metric tons CO2 equivalent ? MT CO2e,,3801840,,metric tons CO2 equivalent ? MT CO2e,,540418,, MWh,,2143303,,cubic meters,,8493,,Metric Tons,,13075710.4,,MWh,,13.974,,,,23149,,,,38.3,,%,,99.164,,,,33.138,,,,0,,,,1683,,,,190650,,USD,,0,,,,36,,,,6.6,,,,0,,,,0,,,,1,,,,1,,,,,,,,1,,,,,0.642857143,,120,1.37,7.4,24,1.36,1.5,8.4,5.1
66,SUNNY OPTICAL,A,66.7,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2022,54200,,Million  RMB,,0.148,,,,487900,,metric tons CO2 equivalent ? MT CO2e,,362502,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,515283,, MWh,,2318717.1,,cubic meters,,8706,,Metric Tons,,13075710.4,,MWh,,25.818,,,,25550,,,,40.1,,%,,100,,%,,26.502,,,,0,,,,1535.6,,,,175857,,USD,,0,,,,36,,,,0,,,,0,,,,0,,,,1,,,,0,,,,,,,,1,,,,,0.642857143,,105,0.66,7.8,25,1.51,1.32,3.1,5.6
67,SUNNY OPTICAL,A,75.066667,China,Technology Hardware & Equipment ,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,EN,2023,49100,,Million  RMB,,0.141,,,,512200,Greenhouse gas (Scope 1),metric tons CO2 equivalent ? MT CO2e,,378427.2,Greenhouse gas (Scope 2),metric tons CO2 equivalent ? MT CO2e,,3391492.6,,metric tons CO2 equivalent ? MT CO2e,,639457.5,Total indirect energy, MWh,,2639878.9,Water consumption,cubic meters,,78984,,Metric Tons,,101536.8,Green Electricity,MWh,,10.468,,,,29524,Number of employees,Person,,40,Proportion of female employees,%,,98.74,,,,52.7,Average training hours,Hour(s),,0,,,,2194,Working days lost due to work- related injuries,Day(s),,263638,Amount devoted,USD,,12,,,,36,,,,0,,,,0,,,,1,GRI Index,,,1,third-party agency,,,1,Major Targets,,,,,,,1,Materiality Assessment,,,,0.642857143,,75,0.18,8.1,28,1.59,0.97,5.2,5.2
68,Intel,AA,75.233333,USA,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2020,77900,,Million USD,,1,,,,1973000,,metric tons CO2 equivalent ? MT CO2e,,909000,,metric tons CO2 equivalent ? MT CO2e,,29866000,,metric tons CO2 equivalent ? MT CO2e,,8800000,, MWh,,13017000,,cubic meters,,414000,,Metric Tons,,13063145,,MWh,,4,,%,,111000,,,,27.8,,%,,90.066,,,,50.238,,,,0,,,,217,,,,80400000,,USD,,0,,,,36,,,,2,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.515555556,,50,20.9,7.4,28,1.37,0.61,-2.2,8.1
69,Intel,AA,72.058333,USA,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2021,79000,,Million USD,,1,,,,2181000,,metric tons CO2 equivalent ? MT CO2e,,1093000,,metric tons CO2 equivalent ? MT CO2e,,28863000,,metric tons of CO2e,,9600000,, MWh,,10791000,,cubic meters,,344000,,Metric Tons,,13090175.96,,MWh,,5.6,,%,,121000,,,,28,,%,,90.066,,,,52.988,,,,1,,,,293,,,,100000000,,USD,,0,,,,36,,,,2,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.515555556,,54,19.9,7.6,34,1.38,0.65,5.9,5.4
70,Intel,AA,81.15,USA,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2022,63100,Net revenue,Million USD,,1,,,,1190885,Scope 1 GHG Emissions,metric tons CO2 equivalent ? MT CO2e,,347558,Scope 2 GHG3 Emissions,metric tons CO2 equivalent ? MT CO2e,metric tons CO2e,22791000,Scope 3 Total,metric tons of CO2e,,8161534,, MWh,,9971000,Water Consumption,cubic meters,,311000,Total waste generated,Metric Tons,,6616701.36,,MWh,,5.6,Undesired Turnover Global Overall,,,131900,Employees at year end,(in thousands),,50,,,,89.806,,,,44.104,,,,0.2,,,,213.4,,,,94200000,Worldwide charitable giving,USD,,0,,,,36,,,,4.6,,,,0,,,,1,Global Reporting Initiative (GRI),,,1,third-party assurance,,,1,company-wide environmental targets,,,,,,,1,Materiality Assessment,,,,0.515555556,,47,8,8,34,1.39,0.76,2.5,3.6
71,Intel,AAA,86.45,USA,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2023,54228,,Million USD,,1,,,,845000,,metric tons CO2 equivalent ? MT CO2e,,47800,,metric tons CO2 equivalent ? MT CO2e,,23095000,,metric tons of CO2e,,8161534,, MWh,,9860000,,cubic meters,,292000,,Metric Tons,,6616701.36,,MWh,,5.6,,,,124800,,,,28,,%,,89.806,,,,39.784,,,,0.4,,,,160.6,,,,81500000,,USD,,0,,,,36,,,,4.6,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.515555556,,38,1.7,8.2,32,1.44,0.72,2.9,4.1
72,Qualcomm,B,54.041667,USA,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2020,23531,,Million USD,,1,,,,112479,,metric tons CO2 equivalent ? MT CO2e,,203047,,metric tons CO2 equivalent ? MT CO2e,,8679000,,metric tons CO2 equivalent ? MT CO2e,,403638,, MWh,,825219.38,,cubic meters,,2948,,Metric Tons,,128586.36,,MWh,,5,,%,,40905,,,,32.56,,,,95,,%,,60.56,,,,0.2,,,,276,,,,21043375,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.682242439,,92,5.2,8.5,26,1.84,0.46,-2.2,8.1
73,Qualcomm,BB,54.041667,USA,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2021,23531,,Million USD,,1,,,,112479,,metric tons CO2 equivalent ? MT CO2e,,203047,,metric tons CO2 equivalent ? MT CO2e,,8679000,,metric tons CO2 equivalent ? MT CO2e,,403638,, MWh,,825219.38,,cubic meters,,2948,,Metric Tons,,128586.36,,MWh,,5,,,,40905,,,,32.56,,,,95,,,,60.56,,,,0.2,,,,276,,,,21043375,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,,,,,1,,,,,,,,1,,,,,0.682242439,,140,9.04,9.1,35,2.02,0.75,5.9,5.4
74,Qualcomm,A,77.3,USA,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2022,44200,Revenues by Reportable Segment ,Million USD,,1,,,,104850,,metric tons CO2 equivalent ? MT CO2e,,160417,Total Scope 2 ? Indirect GHG emissions by weight,metric tons CO2 equivalent ? MT CO2e,,6394094,Total Scope 3 ? Other indirect GHG emissions by weight,metric tons CO2 equivalent ? MT CO2e,,2501200,, MWh,,590523.96,Water consumed,cubic meters,,120629.4,,Metric Tons,,128586.36,,MWh,,1.2,Employee involuntary turnover rate,%,,50755,Total employees,,,31.66,,,,97.66,,,,14,Average training and development hours per full time employee,Hours,,0.4,,,,252.4,,,,55572000,,USD,,0,Complaints from regulatory bodies,,,36,,,,0,,,,0,Complaints (breaches of customer privacy) received from outside parties and substantiated by Qualcomm5,,,1,Global Reporting Initiative Content Index,,,1,third-party verified,,,1,net-zero global GHG emissions,,,,,,,1,ESG materiality assessment,,,,0.682242439,,155,12.93,10.1,33,2.08,0.74,2.5,3.6
75,Qualcomm,A,75.5,USA,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2023,35820,Revenues by Reportable Segment ,Million USD,,1,,,,80589,,metric tons CO2 equivalent ? MT CO2e,,157293,Total Scope 2 ? Indirect GHG emissions by weight,metric tons CO2 equivalent ? MT CO2e,,5070086,Total Scope 3 ? Other indirect GHG emissions by weight,metric tons CO2 equivalent ? MT CO2e,,2501200,, MWh,,537528.22,Water consumed,cubic meters,,120629.4,,Metric Tons,,124894.69,,MWh,,4.2,Employee involuntary turnover rate,%,,50257,Total employees,,,31.66,,,,97.62,,,,15.6,Average training and development hours per full time employee,Hours,,0.2,,,,252.4,,,,55572000,,USD,,0,Complaints from regulatory bodies,,,36,,,,0,,,,0,Complaints (breaches of customer privacy) received from outside parties and substantiated by Qualcomm5,,,1,reference to the GRI Standards,,,1,,,,1,net-zero global GHG emissions,,,,,,,1,,,,,0.682242439,,126,7.23,11.2,34,1.85,1.33,2.9,4.1
76,TSMC,AAA,90.4,China,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2020,1339255,,Million NTD,,0.0338,,,,2150339,,Metric Tons,,7429951,,metric tons CO2 equivalent ? MT CO2e,,5511486,,metric tons CO2 equivalent ? MT CO2e,,16058000,, MWh,,77300000,,cubic meters,,575740,,Metric Tons,,32450000,,MWh,,5.3,,%,,56831,,,,37.1,,%,,99.72,,%,,6.9,,Hour,,0,,,,221.4,,,,4880720,,USD,,0,,,,36,,,,2,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.682242439,,62,18.99,6.8,20,2.06,1,2.2,5.2
77,TSMC,AAA,90.4,China,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2021,1339255,,Million NTD,,0.0356,,,,2150339,,Metric Tons,,7429951,,metric tons CO2 equivalent ? MT CO2e,,5511486,,metric tons CO2 equivalent ? MT CO2e,,16058000,, MWh,,77300000,,cubic meters,,575740,,Metric Tons,,32450000,,MWh,,5.3,,%,,56831,,,,37.1,,%,,99.72,,%,,6.9,,Hour,,0,,,,221.4,,,,5140640,,USD,,0,,,,36,,,,2,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.682242439,,120,21.35,7.1,18,2.19,1.16,8.4,5.1
78,TSMC,AAA,90.475,China,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2022,2264000,Revenue,Million NTD,,0.0326,,,,2018789,Scope 1,metric ton-CO2 equivalent,,9539765,Scope 2 ,metric tons CO2 equivalent ? MT CO2e,,7502136,Scope 3 ,metric tons CO2 equivalent ? MT CO2e,,5962126.7,, MWh,,104600000,Water consumption,cubic meters,,744019,Waste generated,Metric Tons,,13077785.4,,MWh,,6.7,Turnover rate,%,,65133,Number of Employees,,,34.4,Females in all employees,%,,99.14,,,,69.5,average hours of learning per employee,hours,,0,Occupational fatalities - employees,,,826,,,,4984540,donations,USD,,0,,,,36,,,,0,,,,0,customer privacy and loss of customer data,,,1,Adopt GRI Universal Standards,,,1,external verification,,,1,goal of Net Zero emissions,,,,,,,1,materiality analysis,,,,0.682242439,,112,32.31,7.5,13,2.27,0.96,3.1,5.6
79,TSMC,AAA,88.575,China,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2023,2264000,,Million NTD,,0.0314,,,,2018789,,metric ton-CO2 equivalent,,9539765,,metric tons CO2 equivalent ? MT CO2e,,7502136,,metric tons CO2 equivalent ? MT CO2e,,5962126.7,, MWh,,105000000,,cubic meters,,744019,,Metric Tons,,13077785.4,,MWh,,6.8,,%,,73090,,,,34.4,,%,,99.74,,,,64.6,,hours,,0,,,,385,,,,12340200,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.682242439,,85,27.82,8.2,15,2.25,1.03,5.2,5.2
80,SMIC,A,73.2,China,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2020,3907,,Million USD,,1,,,,550105,,metric tons CO2 equivalent ? MT CO2e,,1579152,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,1624790,, MWh,,13458758,,cubic meters,,28706,,Metric Tons,,1624790,,MWh,,61.8,,%,,17354,,,,40,,%,,100,,%,,16.9,,hours,,0,,,,1080,,,,2430200,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.553191489,,5.7,0.24,7.1,22,1.45,0.77,2.2,5.2
81,SMIC,A,70.2,China,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2021,5000,,Million USD,,1,,,,680308,,metric tons CO2 equivalent ? MT CO2e,,1558785,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,2501000,, MWh,,20619000,,cubic meters,,47578,,Metric Tons,,2501000,,MWh,,21.22,,%,,17681,,,,39,,%,,100,,%,,29,,Hour,,0,,,,517,,,,1414375,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.553191489,,8.2,1.03,7.4,20,1.58,1.01,8.4,5.1
82,SMIC,A,72.5,China,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2022,7000,,Million USD,,1,,,,823838,,metric tons CO2 equivalent ? MT CO2e,,1579152,,metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,2869000,, MWh,,24713000,,cubic meters,,106484,,Metric Tons,,2869000,,MWh,,16.94,,%,,21619,,,,36,,%,,100,,%,,39,,Hour,,0,,,,232,,,,2436968,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,1,,,,,0.553191489,,7.3,1.82,8.2,14,1.62,1.01,3.1,5.6
83,SMIC,A,74.3,China,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2023,6322,Revenue,Million USD,,1,,,,843517,Total direct emissions (Scope 1),metric tons CO2 equivalent ? MT CO2e,,1764422,Total indirect emissions (Scope 2),metric tons CO2 equivalent ? MT CO2e,,3373349.4,,metric tons CO2 equivalent ? MT CO2e,,3194000,Total electricity consumption, MWh,,26932000,Total water consumption,cubic meters,,128772,Waste Generated,Metric Tons,,6616701.36,,MWh,,10.764,,,,20223,Number of employees,Person,,37,Proportion of female employees,%,,90.626,,,,31,The average trainning hours completed per employee,Hour,,0,Number of work-related fatalities occurred in the past three years,Person,,447,Lost days due to work injury,Day,,53030155,,USD,,0,,,,36,,,,0,,,,0,,,,1,reference to the Global Reporting Initiative (GRI),,,1,third-party agencies,,,1,ESG goals,,,,,,,1,????,,,,0.553191489,,5.9,0.95,8.3,19,1.65,1.2,5.2,5.2
84,TEXAS INSTRUMENTS,B,77,USA,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2020,14460,,Million USD,,1,,,,938506,,metric tons CO2 equivalent ? MT CO2e,,978237,,metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,2461622,, MWh,,26497870,,cubic meters,,42000,,Metric Tons,,13075710.4,,MWh,,7.1,,%,,30000,,,,36,,%,,90.246,,,,30,,hour,,0,,,,307.8,,,,14000000,,USD,,0,,,,36,,,,0,,,,0,,,,1,,,,1,,,,1,,,,,,,,0,,,,,0.647222222,,135,5.57,7.2,20,1.59,0.63,-2.2,8.1
85,TEXAS INSTRUMENTS,B,54.266667,USA,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2021,18344,,Million USD,,1,,,,56731.32,,metric tons CO2 equivalent ? MT CO2e,,489003.36,,metric tons CO2 equivalent ? MT CO2e,,2090424.8,,metric tons CO2 equivalent ? MT CO2e,,5241468.72,, MWh,,5419279.64,,cubic meters,,9238,,Metric Tons,,12983097,,MWh,,9.7,,%,,31000,,,,69.818,,,,91.544,,,,29.114,,,,0.2,,,,599.4,,,,6485280,,USD,,0,,,,36,,,,4.6,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,,0.647222222,,190,7.72,7.5,21,1.62,0.64,5.9,5.4
86,TEXAS INSTRUMENTS,B,48.566667,USA,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2022,20030,,Million USD,,1,,,,56731.32,,metric tons CO2 equivalent ? MT CO2e,,489003.36,,metric tons CO2 equivalent ? MT CO2e,,2090424.8,,metric tons CO2 equivalent ? MT CO2e,,5241468.72,, MWh,,5419279.64,,cubic meters,,9238,,Metric Tons,,12983097,,MWh,,12.1,,%,,33000,,,,69.818,,,,91.544,,,,29.114,,,,0.2,,,,599.4,,,,6485280,,USD,,0,,,,36,,,,4.6,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,,0.647222222,,175,8.72,8.1,28,1.7,0.68,2.5,3.6
87,TEXAS INSTRUMENTS,BB,64.1,USA,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,EN,2023,17520,,Million USD,,1,,,,1120000,Scope 1 (direct),metric tons CO2 equivalent ? MT CO2e,,1100000,"Scope 2 (indirect, market-based)",metric tons CO2 equivalent ? MT CO2e,,1434024.8,,metric tons CO2 equivalent ? MT CO2e,,3217399,Electricity, MWh,,34295814.6,Water use,cubic meters,,226808,,Metric Tons,,619894,Renewable electricity,MWh,,8.3,Employee voluntary turnover,,,34214,Workforce by region,,,34.5,Gender by role,,,91.366,,,,40.13,Training Average hours,,,0,Fatalities from work-related injuries (employees),,,344.2,,,,61870000,Giving,USD,,0,,,,36,,,,0,,,,0,,,,1,GRI Content Index,,,1,the third-party limited assurance assessment,,,1,Environmental goals,,,,,,,1,,,,,0.647222222,,165,6.51,8.3,26,1.7,1.1,2.9,4.1
